tran_id	gene_id	col3	translen
ENST00000554746.1	ENSG00000185070.10	NULL	3278
ENST00000330753.5	ENSG00000185070.10	NULL	33679
ENST00000616261.1	ENSG00000134684.10	NULL	1167
ENST00000373477.8	ENSG00000134684.10	NULL	3238
ENST00000356187.9	ENSG00000023191.16	NULL	1791
ENST00000533410.5	ENSG00000023191.16	NULL	1829
ENST00000452182.1	ENSG00000169432.14	NULL	1618
ENST00000303354.10	ENSG00000169432.14	NULL	9786
ENST00000447796.1	ENSG00000178234.12	NULL	717
ENST00000415421.5	ENSG00000178234.12	NULL	2555
ENST00000589880.1	ENSG00000127540.11	NULL	504
ENST00000585671.2	ENSG00000127540.11	NULL	753
ENST00000575097.1	ENSG00000154975.13	NULL	410
ENST00000575181.1	ENSG00000154975.13	NULL	1474
ENST00000486085.5	ENSG00000115310.17	NULL	955
ENST00000357732.8	ENSG00000115310.17	NULL	2390
ENST00000405914.1	ENSG00000084731.14	NULL	3180
ENST00000264712.7	ENSG00000084731.14	NULL	5344
ENST00000438535.1	ENSG00000114302.15	NULL	624
ENST00000437821.2	ENSG00000114302.15	NULL	627
ENST00000609145.5	ENSG00000124299.13	NULL	570
ENST00000397032.8	ENSG00000124299.13	NULL	1754
ENST00000634375.1	ENSG00000128641.18	NULL	567
ENST00000451437.5	ENSG00000128641.18	NULL	1310
ENST00000336292.10	ENSG00000182253.14	NULL	7394
ENST00000594047.2	ENSG00000182253.14	NULL	6407
ENST00000376386.3	ENSG00000243279.3	NULL	801
ENST00000553851.2	ENSG00000243279.3	NULL	1334
ENST00000554321.1	ENSG00000250366.2	NULL	767
ENST00000503525.2	ENSG00000250366.2	NULL	3197
ENST00000302463.10	ENSG00000168137.15	NULL	4786
ENST00000442373.5	ENSG00000168137.15	NULL	900
ENST00000514652.5	ENSG00000138813.9	NULL	2542
ENST00000326581.8	ENSG00000138813.9	NULL	1636
ENST00000553764.1	ENSG00000227051.6	NULL	562
ENST00000553782.1	ENSG00000227051.6	NULL	536
ENST00000543212.5	ENSG00000183066.14	NULL	1001
ENST00000328823.13	ENSG00000183066.14	NULL	2255
ENST00000615901.4	ENSG00000115306.15	NULL	10226
ENST00000333896.5	ENSG00000115306.15	NULL	9075
ENST00000513409.1	ENSG00000109182.11	NULL	2390
ENST00000226432.8	ENSG00000109182.11	NULL	2472
ENST00000422191.1	ENSG00000128346.10	NULL	758
ENST00000418863.5	ENSG00000128346.10	NULL	563
ENST00000629816.2	ENSG00000091879.13	NULL	2602
ENST00000325203.9	ENSG00000091879.13	NULL	5416
ENST00000398136.6	ENSG00000152558.14	NULL	3579
ENST00000531103.5	ENSG00000152558.14	NULL	568
ENST00000639877.1	ENSG00000270800.2	NULL	2911
ENST00000639725.1	ENSG00000270800.2	NULL	4782
ENST00000506501.1	ENSG00000145708.10	NULL	912
ENST00000274368.8	ENSG00000145708.10	NULL	1980
ENST00000569602.1	ENSG00000140749.8	NULL	368
ENST00000268389.5	ENSG00000140749.8	NULL	2785
ENST00000391724.3	ENSG00000186431.18	NULL	762
ENST00000359272.8	ENSG00000186431.18	NULL	828
ENST00000639885.1	ENSG00000140553.17	NULL	3255
ENST00000394275.6	ENSG00000140553.17	NULL	4002
ENST00000511657.1	ENSG00000121073.13	NULL	548
ENST00000503334.5	ENSG00000121073.13	NULL	943
ENST00000500945.2	ENSG00000145782.12	NULL	1430
ENST00000509910.1	ENSG00000145782.12	NULL	4333
ENST00000421545.2	ENSG00000173809.17	NULL	1317
ENST00000444215.6	ENSG00000173809.17	NULL	3934
ENST00000353004.7	ENSG00000172005.10	NULL	873
ENST00000309988.8	ENSG00000172005.10	NULL	1112
ENST00000370228.1	ENSG00000107815.7	NULL	3175
ENST00000311916.6	ENSG00000107815.7	NULL	3131
ENST00000284073.6	ENSG00000153944.10	NULL	6364
ENST00000442934.6	ENSG00000153944.10	NULL	1624
ENST00000407610.7	ENSG00000131732.11	NULL	1555
ENST00000254037.6	ENSG00000131732.11	NULL	4606
ENST00000464295.5	ENSG00000175697.10	NULL	4442
ENST00000315843.7	ENSG00000175697.10	NULL	4193
ENST00000251864.6	ENSG00000095627.9	NULL	4510
ENST00000369282.5	ENSG00000095627.9	NULL	3705
ENST00000444443.5	ENSG00000106460.18	NULL	584
ENST00000396668.7	ENSG00000106460.18	NULL	2126
ENST00000341276.9	ENSG00000188316.13	NULL	2865
ENST00000369207.2	ENSG00000188316.13	NULL	1484
ENST00000368438.1	ENSG00000146352.12	NULL	1359
ENST00000275162.9	ENSG00000146352.12	NULL	11485
ENST00000538039.5	ENSG00000162129.12	NULL	3078
ENST00000544683.5	ENSG00000162129.12	NULL	624
ENST00000375855.3	ENSG00000130045.15	NULL	1457
ENST00000375854.7	ENSG00000130045.15	NULL	805
ENST00000508716.1	ENSG00000039123.15	NULL	2185
ENST00000230640.9	ENSG00000039123.15	NULL	4192
ENST00000159111.8	ENSG00000127663.14	NULL	5593
ENST00000588337.5	ENSG00000127663.14	NULL	504
ENST00000488539.1	ENSG00000130699.18	NULL	645
ENST00000252996.8	ENSG00000130699.18	NULL	4628
ENST00000372789.5	ENSG00000175121.11	NULL	1018
ENST00000307971.7	ENSG00000175121.11	NULL	1034
ENST00000260008.3	ENSG00000137460.8	NULL	6480
ENST00000511601.5	ENSG00000137460.8	NULL	6583
ENST00000372302.5	ENSG00000126878.12	NULL	3340
ENST00000372301.2	ENSG00000126878.12	NULL	671
ENST00000467773.1	ENSG00000106410.14	NULL	2076
ENST00000483238.5	ENSG00000106410.14	NULL	1980
ENST00000509430.5	ENSG00000164347.17	NULL	3047
ENST00000345239.6	ENSG00000164347.17	NULL	2856
ENST00000281081.11	ENSG00000151413.16	NULL	3049
ENST00000550649.5	ENSG00000151413.16	NULL	557
ENST00000589527.5	ENSG00000108679.12	NULL	818
ENST00000591274.1	ENSG00000108679.12	NULL	379
ENST00000538577.5	ENSG00000157593.18	NULL	1909
ENST00000619636.4	ENSG00000157593.18	NULL	2063
ENST00000407585.5	ENSG00000100266.18	NULL	3080
ENST00000453079.1	ENSG00000100266.18	NULL	505
ENST00000393766.6	ENSG00000052802.12	NULL	1789
ENST00000507013.5	ENSG00000052802.12	NULL	973
ENST00000514097.5	ENSG00000109205.16	NULL	680
ENST00000510709.6	ENSG00000109205.16	NULL	780
ENST00000507515.1	ENSG00000178163.7	NULL	527
ENST00000326756.3	ENSG00000178163.7	NULL	6894
ENST00000331718.5	ENSG00000184185.9	NULL	2198
ENST00000583088.5	ENSG00000184185.9	NULL	5425
ENST00000625272.1	ENSG00000111196.9	NULL	319
ENST00000539554.5	ENSG00000111196.9	NULL	666
ENST00000297613.4	ENSG00000164967.9	NULL	1092
ENST00000378959.8	ENSG00000164967.9	NULL	888
ENST00000426871.1	ENSG00000143373.17	NULL	3277
ENST00000324048.9	ENSG00000143373.17	NULL	5378
ENST00000398738.2	ENSG00000244694.7	NULL	3232
ENST00000339488.8	ENSG00000244694.7	NULL	2850
ENST00000450684.2	ENSG00000106624.10	NULL	2571
ENST00000449162.1	ENSG00000106624.10	NULL	566
ENST00000375647.4	ENSG00000184677.16	NULL	8685
ENST00000400239.6	ENSG00000184677.16	NULL	1855
ENST00000574034.1	ENSG00000184560.7	NULL	1287
ENST00000333870.7	ENSG00000184560.7	NULL	1651
ENST00000633730.1	ENSG00000178665.14	NULL	2065
ENST00000429591.3	ENSG00000178665.14	NULL	4339
