ENST00000554746.1	ENST00000330753.5
ENST00000616261.1	ENST00000373477.8
ENST00000356187.9	ENST00000533410.5
ENST00000452182.1	ENST00000303354.10
ENST00000447796.1	ENST00000415421.5
ENST00000589880.1	ENST00000585671.2
ENST00000575097.1	ENST00000575181.1
ENST00000486085.5	ENST00000357732.8
ENST00000405914.1	ENST00000264712.7
ENST00000438535.1	ENST00000437821.2
ENST00000609145.5	ENST00000397032.8
ENST00000634375.1	ENST00000451437.5
ENST00000336292.10	ENST00000594047.2
ENST00000376386.3	ENST00000553851.2
ENST00000554321.1	ENST00000503525.2
ENST00000302463.10	ENST00000442373.5
ENST00000514652.5	ENST00000326581.8
ENST00000553764.1	ENST00000553782.1
ENST00000543212.5	ENST00000328823.13
ENST00000615901.4	ENST00000333896.5
ENST00000513409.1	ENST00000226432.8
ENST00000422191.1	ENST00000418863.5
ENST00000629816.2	ENST00000325203.9
ENST00000398136.6	ENST00000531103.5
ENST00000639877.1	ENST00000639725.1
ENST00000506501.1	ENST00000274368.8
ENST00000569602.1	ENST00000268389.5
ENST00000391724.3	ENST00000359272.8
ENST00000639885.1	ENST00000394275.6
ENST00000511657.1	ENST00000503334.5
ENST00000500945.2	ENST00000509910.1
ENST00000421545.2	ENST00000444215.6
ENST00000353004.7	ENST00000309988.8
ENST00000370228.1	ENST00000311916.6
ENST00000284073.6	ENST00000442934.6
ENST00000407610.7	ENST00000254037.6
ENST00000464295.5	ENST00000315843.7
ENST00000251864.6	ENST00000369282.5
ENST00000444443.5	ENST00000396668.7
ENST00000341276.9	ENST00000369207.2
ENST00000368438.1	ENST00000275162.9
ENST00000538039.5	ENST00000544683.5
ENST00000375855.3	ENST00000375854.7
ENST00000508716.1	ENST00000230640.9
ENST00000159111.8	ENST00000588337.5
ENST00000488539.1	ENST00000252996.8
ENST00000372789.5	ENST00000307971.7
ENST00000260008.3	ENST00000511601.5
ENST00000372302.5	ENST00000372301.2
ENST00000467773.1	ENST00000483238.5
ENST00000509430.5	ENST00000345239.6
ENST00000281081.11	ENST00000550649.5
ENST00000589527.5	ENST00000591274.1
ENST00000538577.5	ENST00000619636.4
ENST00000407585.5	ENST00000453079.1
ENST00000393766.6	ENST00000507013.5
ENST00000514097.5	ENST00000510709.6
ENST00000507515.1	ENST00000326756.3
ENST00000331718.5	ENST00000583088.5
ENST00000625272.1	ENST00000539554.5
ENST00000297613.4	ENST00000378959.8
ENST00000426871.1	ENST00000324048.9
ENST00000398738.2	ENST00000339488.8
ENST00000450684.2	ENST00000449162.1
ENST00000375647.4	ENST00000400239.6
ENST00000574034.1	ENST00000333870.7
ENST00000633730.1	ENST00000429591.3
ENST00000400020.7	ENST00000577992.1
ENST00000573216.5	ENST00000333511.7
ENST00000562733.1	ENST00000441782.6
ENST00000532782.1	ENST00000393094.6
ENST00000586150.5	ENST00000593280.2
ENST00000617714.1	ENST00000449534.6
ENST00000614798.1	ENST00000373304.3
ENST00000617961.1	ENST00000617768.4
ENST00000354361.3	ENST00000236273.8
ENST00000460672.6	ENST00000381297.9
ENST00000296932.12	ENST00000367609.7
ENST00000374084.2	ENST00000263980.7
ENST00000453723.5	ENST00000382061.4
ENST00000373826.3	ENST00000465518.2
ENST00000254616.10	ENST00000530751.1
ENST00000596605.1	ENST00000596149.5
ENST00000472796.2	ENST00000444213.5
ENST00000564373.1	ENST00000415500.1
ENST00000415597.5	ENST00000454244.4
ENST00000316286.13	ENST00000491431.1
ENST00000642057.1	ENST00000332650.5
ENST00000292779.3	ENST00000607942.5
ENST00000448666.5	ENST00000414701.1
ENST00000330244.10	ENST00000561157.5
ENST00000263257.5	ENST00000596784.1
ENST00000552115.5	ENST00000552738.5
ENST00000420584.3	ENST00000361288.8
ENST00000512649.1	ENST00000512868.6
ENST00000443496.5	ENST00000431944.1
ENST00000394113.5	ENST00000284382.8
ENST00000443512.1	ENST00000492200.5
ENST00000420954.6	ENST00000371236.6
ENST00000379095.4	ENST00000411845.3
ENST00000341923.10	ENST00000575991.1
ENST00000312053.8	ENST00000250572.12
ENST00000627916.2	ENST00000507921.5
ENST00000409601.1	ENST00000394053.6
ENST00000417056.5	ENST00000367511.3
ENST00000381154.5	ENST00000458014.1
ENST00000369449.6	ENST00000321926.4
ENST00000434373.3	ENST00000350941.7
ENST00000554848.5	ENST00000349310.7
ENST00000396502.5	ENST00000338896.9
ENST00000599694.1	ENST00000609274.5
ENST00000457170.6	ENST00000389297.8
ENST00000312233.4	ENST00000628545.1
ENST00000526986.5	ENST00000310442.4
ENST00000494707.5	ENST00000318842.11
ENST00000254898.6	ENST00000519585.5
ENST00000396969.8	ENST00000601533.5
ENST00000339137.7	ENST00000376001.7
ENST00000414468.2	ENST00000354309.4
ENST00000613572.4	ENST00000320700.9
ENST00000315423.11	ENST00000503235.1
ENST00000566264.1	ENST00000253934.9
ENST00000557342.5	ENST00000553981.1
ENST00000617055.4	ENST00000356455.8
ENST00000616990.4	ENST00000533937.1
ENST00000376279.7	ENST00000443601.1
ENST00000263012.10	ENST00000570346.1
ENST00000248058.1	ENST00000641129.1
ENST00000487389.5	ENST00000448787.6
ENST00000394815.2	ENST00000313234.9
ENST00000407981.6	ENST00000443880.1
ENST00000327813.9	ENST00000407188.5
ENST00000360672.2	ENST00000262866.8
ENST00000614754.4	ENST00000618417.1
ENST00000626285.1	ENST00000350498.7
ENST00000460972.4	ENST00000641652.1
ENST00000598564.5	ENST00000593591.5
ENST00000480405.2	ENST00000371321.7
ENST00000525364.5	ENST00000533862.5
ENST00000265007.10	ENST00000311371.9
ENST00000369014.9	ENST00000361631.9
ENST00000598087.3	ENST00000620307.4
ENST00000359092.7	ENST00000301178.8
ENST00000340344.4	ENST00000354250.6
ENST00000392204.6	ENST00000222284.9
ENST00000381210.7	ENST00000509536.1
ENST00000434632.5	ENST00000439254.1
ENST00000525095.2	ENST00000281187.9
ENST00000423894.5	ENST00000466830.5
ENST00000381761.5	ENST00000432420.5
ENST00000367505.6	ENST00000629427.2
ENST00000379164.8	ENST00000306100.9
ENST00000440364.6	ENST00000426761.2
ENST00000630631.1	ENST00000159087.6
ENST00000414645.6	ENST00000519353.5
ENST00000636473.1	ENST00000585802.6
ENST00000517777.5	ENST00000451462.5
ENST00000372259.9	ENST00000372257.6
ENST00000625032.1	ENST00000377425.8
ENST00000398814.7	ENST00000558659.5
ENST00000453034.5	ENST00000319170.9
ENST00000263776.8	ENST00000533404.1
ENST00000628866.2	ENST00000630571.2
ENST00000411955.5	ENST00000437805.5
ENST00000614256.4	ENST00000368694.7
ENST00000325106.8	ENST00000398886.8
ENST00000261707.7	ENST00000394821.2
ENST00000415944.3	ENST00000453960.6
ENST00000505839.1	ENST00000505177.6
ENST00000466939.1	ENST00000476015.1
ENST00000450388.7	ENST00000333493.8
ENST00000588936.5	ENST00000591904.1
ENST00000354433.7	ENST00000583965.5
ENST00000415950.4	ENST00000640135.1
ENST00000434408.1	ENST00000327492.3
ENST00000494035.1	ENST00000216129.6
ENST00000347302.7	ENST00000391703.3
ENST00000487865.5	ENST00000620924.1
ENST00000547178.5	ENST00000345901.7
ENST00000436390.5	ENST00000426499.5
ENST00000435395.5	ENST00000297186.7
ENST00000532663.1	ENST00000543440.6
ENST00000370177.1	ENST00000370179.7
ENST00000382911.8	ENST00000300091.5
ENST00000404136.2	ENST00000410053.7
ENST00000563910.5	ENST00000394907.7
ENST00000433172.3	ENST00000369515.6
ENST00000435510.6	ENST00000277746.10
ENST00000507146.5	ENST00000513437.1
ENST00000536545.5	ENST00000393577.7
ENST00000262113.8	ENST00000523438.1
ENST00000449733.7	ENST00000373818.8
ENST00000583369.5	ENST00000262613.9
ENST00000616887.1	ENST00000573521.1
ENST00000529903.1	ENST00000278319.9
ENST00000537435.2	ENST00000258499.7
ENST00000445484.5	ENST00000421216.1
ENST00000479218.6	ENST00000588614.1
ENST00000404743.8	ENST00000539337.2
ENST00000369940.6	ENST00000607739.1
